Within 144 hours, totally generated 32 parts (including 2 initial parts).,
  ID: P1, Type: ('High', 'Long'), Arrival time: 0.00h, Length: 57.37mm, Width: 67.39mm, Height: 101.62mm, Volume: 27732.10mm3, Support: 422.41mm3, Due: 21.49h, Price: 272.66CNY, 
  ID: P2, Type: ('High', 'Small'), Arrival time: 0.00h, Length: 55.46mm, Width: 43.60mm, Height: 110.08mm, Volume: 28846.31mm3, Support: 602.06mm3, Due: 22.97h, Price: 240.20CNY, 
  ID: P3, Type: ('High', 'Large'), Arrival time: 5.81h, Length: 71.11mm, Width: 72.60mm, Height: 128.91mm, Volume: 66283.74mm3, Support: 17174.77mm3, Due: 34.46h, Price: 413.59CNY, 
  ID: P4, Type: ('High', 'Small'), Arrival time: 7.69h, Length: 65.68mm, Width: 58.64mm, Height: 125.30mm, Volume: 42676.70mm3, Support: 5232.83mm3, Due: 34.09h, Price: 316.65CNY, 
  ID: P5, Type: ('High', 'Small'), Arrival time: 14.05h, Length: 42.36mm, Width: 61.80mm, Height: 123.78mm, Volume: 45789.13mm3, Support: 10450.31mm3, Due: 40.52h, Price: 319.89CNY, 
  ID: P6, Type: ('Low', 'Large'), Arrival time: 17.22h, Length: 72.26mm, Width: 76.62mm, Height: 83.89mm, Volume: 36412.79mm3, Support: 3574.42mm3, Due: 36.32h, Price: 318.66CNY, 
  ID: P7, Type: ('Low', 'Long'), Arrival time: 26.73h, Length: 73.91mm, Width: 60.00mm, Height: 82.00mm, Volume: 44608.12mm3, Support: 11365.61mm3, Due: 46.19h, Price: 341.77CNY, 
  ID: P8, Type: ('Low', 'Long'), Arrival time: 33.07h, Length: 88.43mm, Width: 46.23mm, Height: 75.58mm, Volume: 28126.42mm3, Support: 6836.05mm3, Due: 50.42h, Price: 339.58CNY, 
  ID: P9, Type: ('High', 'Large'), Arrival time: 34.99h, Length: 96.61mm, Width: 83.00mm, Height: 120.01mm, Volume: 127832.04mm3, Support: 32938.08mm3, Due: 66.01h, Price: 648.35CNY, 
  ID: P10, Type: ('High', 'Small'), Arrival time: 37.73h, Length: 62.92mm, Width: 56.63mm, Height: 126.28mm, Volume: 42944.13mm3, Support: 3941.18mm3, Due: 64.27h, Price: 305.97CNY, 
  ID: P11, Type: ('High', 'Small'), Arrival time: 48.71h, Length: 37.99mm, Width: 46.71mm, Height: 127.34mm, Volume: 16521.89mm3, Support: 2926.64mm3, Due: 73.93h, Price: 195.07CNY, 
